WORD TO INSERT,LINKED LIST SET TIME,HASH TABLE SET TIME,BINARY TREE SET TIME
wonder,40700,42600,500
and,73400,74800,100
probably,42300,44800,900
would,83800,85800,600
blame,15700,17200,900
her,75600,77800,800
and,41300,42300,100
though,42900,47800,400
her,46300,48600,800
resolution,41000,43500,800
was,46500,49200,600
not,40400,42100,300
to,48600,54000,700
be,47500,50000,500
shaken,44700,47000,1400
her,53700,55900,900
feelings,48300,51900,500
must,53300,57000,600
be,43900,45800,500
hurt,4000,4800,800
by,37600,39300,300
such,42000,43900,300
a,38300,40700,200
disapprobation,1300,2000,1000
She,38100,40700,300
resolved,33300,34900,700
to,54200,56400,500
give,45900,48000,400
her,39300,40600,500
the,40600,43000,200
information,39100,40700,400
herself,43000,45100,400
and,40600,41900,200
therefore,42200,44700,400
charged,44500,48000,1000
Mr,39200,40500,300
Collins,28900,30700,500
when,41000,43500,400
he,39100,40400,400
returned,43300,45100,300
to,38800,39700,300
Longbourn,39200,40700,500
to,39100,40200,500
dinner,52000,55300,800
to,48300,50000,500
drop,21700,23300,1000
no,48500,51000,600
hint,72400,74900,900
of,52500,55000,400
what,53500,56100,600
had,50700,52900,700
passed,50900,54000,600
before,55900,58600,600
any,50600,53300,600
of,52200,54600,300
the,50800,53700,400
family,50200,53900,500
A,39500,41200,400
promise,40500,41800,600
of,41100,42200,200
secrecy,46400,48800,1200
was,41200,43700,500
of,40900,41900,100
course,38800,41100,600
very,42900,45800,400
dutifully,71900,75100,900
given,41300,42800,400
but,42200,43700,400
it,42300,44100,300
could,43300,47400,400
not,42700,43800,300
be,41700,43000,400
kept,29000,30100,500
without,42700,44500,500
difficulty,43800,46600,1400
for,43000,45400,300
the,42900,44900,200
curiosity,42100,44800,500
excited,32200,34200,700
by,41900,43700,200
his,42400,44000,400
long,37900,40700,500
absence,31100,32900,600
burst,45800,47900,1000
forth,45600,47200,800
in,41700,45100,400
such,87300,89400,400
very,41600,43500,300
direct,45100,47400,1000
questions,47700,51000,700
on,50100,52500,600
his,49600,52300,600
return,51800,54200,600
as,48700,51900,800
required,43200,46400,1000
some,52900,56200,700
ingenuity,2100,3300,900
to,47800,49800,500
evade,54800,57500,1200
and,50900,53100,400
he,49300,51700,600
was,50000,53100,600
at,46800,49500,500
the,57400,59800,300
same,55100,58100,900
time,55100,58800,1100
exercising,57400,60800,1500
great,45300,48500,600
self,40400,42600,600
denial,36600,38500,600
for,44800,46400,300
he,43200,44400,400
was,50500,56100,700
longing,64300,69100,1900
to,56300,58900,700
publish,63000,66100,1700
his,45200,47700,500
prosperous,17900,19100,1000
love,42100,44500,500
As,40100,42900,500
he,43700,45000,400
was,44200,46400,400
to,72000,74100,400
begin,53100,55200,700
his,40700,43300,400
journey,45000,46800,500
too,38200,40100,400
early,39800,42200,400
on,39300,40600,300
the,40300,42200,200
morrow,42300,44500,400
to,39000,40100,300
see,39400,40900,300
any,39300,41200,300
of,39600,41200,100
the,40300,42000,200
family,40400,44600,400
the,40200,41900,200
ceremony,15100,16100,700
of,35400,37000,200
leave,38700,40500,500
taking,36600,38700,500
was,39700,41200,300
performed,33900,35700,600
when,41200,43000,5600
the,70600,72200,200
ladies,41800,44000,400
moved,36400,37600,500
for,40800,42500,300
the,40400,41700,100
night,37600,39100,400
and,40700,42000,100
Mrs,39900,41900,400
Bennet,43600,45900,300
with,42800,44400,200
great,41200,44500,400
politeness,35700,37200,500
and,40600,41500,100
cordiality,41800,43500,800
said,42400,44700,300
how,39800,42600,400
happy,38700,41200,400
they,40800,42900,500
should,42800,45100,300
be,39500,41300,300
to,39200,40300,300
see,53500,55100,400
him,40400,42700,400
at,39900,42100,300
Longbourn,39800,41300,400
again,39700,41500,500
whenever,38400,40500,500
his,40400,43400,300
engagements,14300,15900,600
might,35900,37000,400
allow,36900,38100,400
him,39900,41100,400
to,39200,40000,200
visit,42000,43700,300
them,41600,44100,400
My,39500,41800,300
dear,41900,43100,200
madam,26100,27700,700
he,38200,39300,400
replied,46400,47900,300
this,42200,44500,200
invitation,40800,42500,300
is,39500,41300,300
particularly,36700,38800,600
gratifying,12600,13600,600
because,60500,63400,400
it,40500,42200,300
is,40400,41600,200
what,42000,44800,400
I,39100,40100,200
have,42600,44000,400
been,44100,45600,300
hoping,45900,47300,700
to,40000,40900,300
receive,38600,39700,400
and,41700,42800,200
you,41100,42400,400
may,41800,43300,300
be,40300,41600,200
very,42100,44800,300
certain,43900,46100,500
that,43300,45900,400
I,39300,40300,300
shall,42500,43800,500
avail,44400,45700,700
myself,43300,45800,400
of,45400,47200,100
it,62300,63400,400
as,40600,42700,300
soon,43700,44900,500
as,40700,41900,300
possible,40100,42500,600
They,43000,45100,400
were,41200,43900,500
all,42000,44000,400
astonished,37200,39300,400
and,42700,43600,200
Mr,41100,42800,400
Bennet,46200,47400,300
who,42000,43200,400
could,42600,44000,400
by,41900,44100,200
no,41600,43400,300
means,40200,41500,600
wish,41300,42600,400
for,42600,44200,300
so,41400,42800,300
speedy,54200,55600,1400
a,40500,45100,200
return,44000,45100,400
immediately,42000,43400,400
said,44200,45800,300
But,42300,44400,300
is,41700,43000,300
there,43800,45900,600
not,42100,43400,400
danger,38000,39300,400
of,41800,42800,200
Lady,43200,45000,400
Catherine,41600,44100,300
s,39400,41500,300
disapprobation,1600,2400,1400
here,43200,44500,500
my,41000,42500,400
good,44400,45600,400
sir,36500,39500,500
You,42700,43700,200
had,41900,43500,400
better,45800,47100,400
neglect,64900,67600,400
your,42000,45000,300
relations,36200,37400,800
than,41800,43000,400
run,33400,35000,500
the,41600,42800,100
risk,6100,6800,700
of,37500,38400,100
offending,44000,45700,800
your,41800,42800,300
patroness,26500,27500,1000
My,39700,41200,200
dear,42500,43400,300
sir,35700,36700,400
replied,45400,46500,300
Mr,39900,40900,300
Collins,29700,30800,600
I,38700,39700,200
am,39700,41500,300
particularly,37800,39100,500
obliged,42900,44100,400
to,40000,40800,200
you,45300,46200,300
for,41200,42300,200
this,42700,44100,200
friendly,38800,39900,400
caution,22900,25900,800
and,39000,39800,200
you,39800,40700,300
may,40300,41200,300
depend,42800,43800,400
upon,41100,42300,300
my,39300,40600,300
not,40100,41200,300
taking,37000,38100,400
so,39000,40300,300
material,30000,31700,800
a,38400,39600,200
step,39200,40500,600
without,40700,42400,400
her,39400,40500,500
ladyship,28200,29100,500
s,36600,38100,300
concurrence,40400,41900,1400
You,40800,41800,200
cannot,42200,44100,300
be,72600,75000,600
too,39400,43800,500
much,42000,43700,400
upon,40700,41900,300
your,41100,42300,400
guard,37400,39600,400
Risk,43000,47200,600
anything,43100,45500,300
rather,40100,41800,300
than,40900,42300,400
her,39400,40600,600
displeasure,13300,14600,900
and,36700,37600,100
if,38400,39700,500
you,40100,43000,300
find,40100,41300,400
it,39600,41000,400
likely,43300,45200,400
to,39100,40200,300
be,39100,40500,300
raised,39500,41800,300
by,39400,41300,100
your,60300,61800,400
coming,36700,38700,600
to,40300,41600,300
us,39800,42100,300
again,41200,42900,400
which,43500,45800,300
I,39400,40600,300
should,43700,46100,300
think,43100,44900,400
exceedingly,33200,34300,700
probable,8500,9500,800
stay,32000,32900,600
quietly,7600,8300,600
at,37000,38800,300
home,38500,40200,500
and,42100,43100,200
be,40400,41400,300
satisfied,39900,41800,500
that,43300,45300,300
we,39500,41700,400
shall,42800,44200,600
take,43500,45800,400
no,41500,43200,300
offence,63300,66400,800
Believe,7800,8500,500
me,51700,54000,300
my,41500,42900,400
dear,44500,45800,200
sir,37200,39100,400
my,41800,42900,300
gratitude,40100,42200,500
is,42600,45100,200
warmly,35200,36800,500
excited,32500,34700,900
by,42300,44600,200
such,44800,46300,300
affectionate,17400,19600,700
attention,39300,40800,300
and,43400,44500,200
depend,44800,45800,400
upon,43300,45000,300
it,42200,43900,300
you,42400,44000,300
will,43300,45000,300
speedily,900,1400,900
receive,39400,40600,500
from,44100,46500,500
me,41500,43500,300
a,40600,42600,300
letter,35800,36800,600
of,41800,43500,100
thanks,41700,44400,400
for,43000,44500,200
this,44800,46400,300
and,43100,44200,200
for,43000,44300,200
every,43100,46200,500
other,45200,46700,300
mark,45300,47500,1000
of,42300,43900,100
your,43300,44400,400
regard,41800,43000,400
during,42900,45500,300
my,41100,42600,300
stay,36700,38100,600
in,41500,43000,400
Hertfordshire,39200,42100,300
As,37000,39100,400
for,62700,65300,600
my,43900,45700,400
fair,27200,28400,600
cousins,27300,28200,600
though,44000,46600,400
my,41300,42400,300
absence,31200,32200,600
may,42800,44300,300
not,42100,45600,200
be,41800,43100,200
long,37800,40500,600
enough,46000,47400,300
to,41500,42300,300
render,40700,43700,400
it,41800,42900,300
necessary,40800,43700,400
I,40500,41900,300
shall,44000,45700,400
now,41700,45900,400
take,44400,46700,500
the,42800,45400,200
liberty,42400,44800,500
of,48300,49500,200
wishing,39300,41300,400
them,44300,45800,400
health,36600,38200,400
and,42900,44000,200
happiness,39500,41200,600
not,42400,43500,200
excepting,39900,42300,600
my,41300,42400,300
cousin,44000,45700,500
Elizabeth,43100,44900,300
With,40800,42700,400
proper,39300,41100,500
civilities,22900,24700,700
the,40600,44300,200
ladies,43800,45900,400
then,42600,44100,500
withdrew,43100,45600,400
all,42000,43900,400
of,41900,45000,200
them,43700,45100,400
equally,44500,58400,500
surprised,39400,41400,500
that,44700,46800,200
he,41500,42600,400
meditated,45000,46800,1100
a,40600,42800,300
quick,44000,45800,400
return,44400,46100,400
Mrs,42600,45000,300
Bennet,46200,47700,300
wished,43500,44800,400
to,41400,42300,300
understand,43000,44900,400
by,42200,44000,200
it,41800,42800,300
that,44700,46000,300
he,41400,42400,300
thought,43000,44700,400
of,42200,43400,100
paying,32000,33400,800
his,42500,44000,500
addresses,7000,7900,700
to,37500,38400,200
one,48500,50500,500
of,42000,43100,100
her,41600,43000,500
younger,41400,42900,500
girls,45100,47300,400
and,43300,44300,200
Mary,42800,46100,500
might,42700,43700,500
have,44600,46200,300
been,44000,45400,400
prevailed,35700,36900,600
on,41700,44900,300
to,41500,42500,200
accept,43900,46100,500
him,42400,44200,400
She,41300,42900,300
rated,45900,47800,900
his,42400,43900,200
abilities,17400,19200,400
much,40200,42800,400
higher,39800,41100,500
than,43200,44200,300
any,64500,66300,300
of,41000,42000,100
the,41700,43200,200
others,43900,46100,500
there,43000,44700,600
was,41100,42600,400
a,40100,43300,300
solidity,39800,41100,400
in,40500,41600,400
his,41200,42700,400
reflections,37000,38400,500
which,43300,45600,400
often,43000,44300,300
struck,41400,44100,500
her,40300,41500,500
and,41700,42500,100
though,44000,46400,400
by,40800,42000,200
no,40600,42300,300
means,39500,41900,700
so,40200,41600,200
clever,42400,44000,500
as,52500,54300,300
herself,43500,45000,400
she,40200,41200,300
thought,40600,44100,400
that,43000,44200,200
if,38500,40000,400
encouraged,41900,43200,1000
to,39200,40000,300
read,39900,43200,300
and,41000,42000,100
improve,20000,21200,700
himself,38500,40500,400
by,39900,41100,200
such,42500,44200,200
an,38500,39800,300
example,32000,33400,800
as,38700,40300,300
hers,42800,44700,900
he,39100,40200,400
might,40300,41200,400
become,34500,36400,500
a,38500,40000,200
very,41700,43500,300
agreeable,41000,42700,500
companion,36700,38300,500
But,40100,44000,300
on,39400,40300,300
the,40700,42100,200
following,40900,42600,300
morning,42900,44800,400
every,40900,44700,400
hope,40600,42300,300
of,39700,41000,100
this,42300,44500,200
kind,37300,38900,500
was,40000,41200,400
done,32800,33700,500
away,42000,43400,200
Miss,38100,40000,300
Lucas,42200,44000,400
called,42000,43800,200
soon,41300,42900,300
after,41300,42400,400
breakfast,35700,37500,600
and,40900,41900,200
in,44900,45900,400
a,38600,39800,200
private,40400,41600,500
conference,5400,6200,1000
with,39900,40900,200
Elizabeth,41200,42400,300
related,40600,42000,400
the,40600,42000,200
event,39200,41300,400
of,40100,41000,100
the,40600,42000,200
day,39800,41600,300
before,43700,45100,300
The,40900,43400,100
possibility,33200,35700,700
of,40100,41100,200
Mr,39500,40800,300
Collins,29400,31100,500
s,37200,38500,300
fancying,40200,42400,500
himself,41500,43200,400
in,39200,40200,400
love,41600,43700,300
with,42700,43700,200
her,49400,50700,600
friend,42700,44100,400
had,40100,41700,400
once,38600,39800,300
occurred,14000,16700,600
to,35600,36500,300
Elizabeth,41200,42300,200
within,41000,42400,400
the,40400,41900,200
last,41900,45600,400
day,40100,41400,300
or,39700,41600,200
two,38500,40200,400
but,39300,40800,400
that,42400,43900,300
Charlotte,38300,40500,400
could,40900,42000,300
encourage,6100,6900,300
him,36600,38500,500
seemed,40000,41400,500
almost,43700,45100,200
as,38600,40300,400
far,35000,35900,500
from,41600,43400,300
possibility,66200,68800,800
as,38800,39900,300
she,39800,41300,300
could,40700,41700,400
encourage,6100,6700,300
him,36800,38100,500
herself,43200,44700,400
and,40800,41900,200
her,39300,40500,500
astonishment,38300,40100,300
was,40200,41600,400
consequently,37800,40700,500
so,39500,40900,300
great,40900,44200,300
as,38800,40000,300
to,39400,40400,300
overcome,34400,37100,600
at,40000,41600,200
first,42700,44200,300
the,40700,42100,100
bounds,44800,46200,1300
of,60700,63200,400
decorum,38500,40400,600
and,40700,41900,200
she,40200,41800,300
could,40600,41500,300
not,40000,41800,300
help,37700,39500,500
crying,44400,46700,2600
out,37000,39300,600
Engaged,45100,46900,500
to,39400,40500,200
Mr,39200,40800,300
Collins,29000,31100,500
My,38800,40000,300
dear,42300,43400,300
Charlotte,38100,40600,300
impossible,40500,42700,400
The,41000,43600,200
steady,39200,41300,500
countenance,38000,40200,400
which,42300,44600,300
Miss,38900,41100,500
Lucas,47800,98700,500
had,40300,42100,400
commanded,43100,44400,1100
in,39200,40300,400
telling,33300,35400,500
her,39500,41000,600
story,39500,41200,500
gave,39000,40700,400
way,39300,41500,500
to,39300,40100,200
a,38500,39600,200
momentary,43000,44400,1000
confusion,32600,34000,600
here,42000,44600,400
on,39400,40700,300
receiving,20600,21800,700
so,36900,38300,300
direct,700,1100,600
a,38200,39400,200
reproach,6700,7700,800
though,40100,41600,400
as,38800,40000,400
it,39500,40500,400
was,39900,41500,400
no,50500,51500,200
more,41500,43100,300
than,41000,42000,300
she,40400,41900,300
expected,42000,44300,500
she,40000,41100,300
soon,56700,58300,300
regained,45600,47900,900
her,41200,42400,500
composure,38900,42000,600
and,41700,42900,200
calmly,45800,47400,900
replied,46000,47700,200
Why,41600,44100,300
should,44100,46800,400
you,41400,43000,400
be,41200,42100,300
surprised,38100,40900,500
my,40500,42900,300
dear,43500,44600,300
Eliza,38800,42200,400
Do,49700,53300,300
you,42500,43400,300
think,43800,46000,500
it,41800,43400,300
incredible,37400,39300,400
that,45500,47600,300
Mr,41700,43500,300
Collins,31500,33600,600
should,45400,47400,400
be,42000,45800,300
able,38900,41500,300
to,41400,42600,300
procure,48100,53100,2000
any,42300,44700,300
woman,45300,49500,300
s,40100,42500,300
good,45000,46500,300
opinion,45900,47100,300
because,41900,44700,400
he,42000,43200,400
was,42500,68000,800
not,48000,50600,400
so,42100,45300,300
happy,41500,46500,500
as,41300,42800,400
to,41500,42600,200
succeed,2300,2800,600
with,44100,45700,300
you,42500,45600,300
But,42500,44700,300
Elizabeth,44000,45800,300
had,42600,45300,400
now,41900,43000,400
recollected,3400,4200,800
herself,43900,47200,500
and,43700,47100,100
making,45100,47100,400
a,41400,43700,300
strong,36400,37900,700
effort,33700,35300,800
for,44300,46500,200
it,42600,44000,300
was,55900,58700,400
able,43300,45200,400
to,42300,43300,300
assure,63500,66000,400
with,47800,49300,300
tolerable,43900,46200,400
firmness,85900,88800,900
that,83700,86000,400
the,60400,61900,200
prospect,58000,60000,600
of,44300,46200,100
their,46500,48200,400
relationship,22100,23600,800
was,40300,41900,400
highly,45500,48700,600
grateful,32900,36400,600
to,41400,42400,200
her,41800,43500,700
and,85900,87500,200
that,70300,72500,200
she,42700,46900,300
wished,44800,46800,400
her,41800,42900,500
all,42600,44700,300
imaginable,35100,37100,700
happiness,39900,41100,600
I,41000,42400,300
see,42400,43800,500
what,43900,46700,500
you,42500,43400,300
are,42200,44600,300
feeling,41800,43700,500
replied,47200,48700,300
Charlotte,40800,43700,300
You,42900,44100,200
must,45200,48100,300
be,41800,43400,300
surprised,39100,41200,500
very,44300,47000,300
much,44100,46900,500
surprised,39000,40200,500
so,41800,43500,200
lately,31200,33200,700
as,41100,43100,400
Mr,41600,43300,300
Collins,31300,33500,700
was,42200,43800,400
wishing,39700,41700,400
to,41600,42800,300
marry,27100,28400,700
you,42400,43400,300
But,42500,44500,300
when,43700,45900,300
you,42300,43200,300
have,44500,46200,400
had,42300,44000,500
time,42000,44600,600
to,41500,42400,300
think,45000,46300,500
it,42300,43600,300
over,43700,45300,400
I,40600,41800,200
hope,42800,44700,400
you,42400,43400,300
will,43300,45100,400
be,41600,42600,300
satisfied,41200,43100,600
with,45000,46400,200
what,42900,44500,400
I,40600,43600,300
have,43800,45300,300
done,35000,35900,500
I,40700,41700,200
am,41300,43100,200
not,42400,45700,300
romantic,47000,49500,600
you,42500,43400,300
know,44100,45700,400
I,40700,41700,200
never,43600,47200,500
was,42600,44000,300
I,43600,44600,200
ask,40500,42800,400
only,42500,44800,300
a,40900,42100,300
comfortable,22100,23100,700
home,37400,39000,300
and,43200,44400,200
considering,37300,39500,400
Mr,41600,43200,300
Collins,31300,33200,400
s,39200,41100,300
character,44200,45700,400
connection,22100,23200,600
and,40700,41700,200
situation,40900,41900,400
in,41700,42800,400
life,43100,45000,500
I,40600,41600,200
am,41200,42400,300
convinced,40800,43200,500
that,44600,46200,300
my,41500,43600,400
chance,45000,46600,500
of,51800,53800,200
happiness,78100,80400,800
with,46700,48100,200
him,43600,46200,400
is,43200,44800,200
as,42100,44100,400
fair,28000,28900,800
as,41300,42500,300
most,41900,43200,500
people,44400,46700,500
can,43300,45000,400
boast,36800,40900,600
on,42900,44000,300
entering,47400,49200,300
the,44100,45700,200
marriage,41000,43000,400
state,26700,28300,1000
Elizabeth,44300,46400,300
quietly,8400,9100,700
answered,34800,37200,500
Undoubtedly,35900,37400,300
and,44100,45100,100
after,47900,49100,500
an,41900,45800,300
awkward,14800,15500,500
pause,34100,35900,600
they,44900,46200,500
returned,46900,48600,300
to,42700,43700,300
the,43800,45200,200
rest,43300,44400,400
of,43200,44200,100
the,44100,45400,200
family,43900,45400,400
Charlotte,41400,43000,400
did,41800,43000,500
not,43500,44700,300
stay,37900,38800,700
much,45100,47000,400
longer,37800,38700,600
and,44000,47100,200
Elizabeth,44800,46100,300
was,43300,44800,500
then,43700,45000,500
left,45100,46400,400
to,42700,45700,300
reflect,13000,13700,600
on,37400,38400,300
what,44300,46000,400
she,43400,45400,300
had,43300,46500,500
heard,46700,48100,400
It,43200,44400,200
was,43100,46500,400
a,42000,43300,200
long,38600,41300,500
time,42500,43800,500
before,47300,48900,400
she,43400,46700,400
became,19700,20500,600
at,39800,41800,200
all,43200,44600,300
reconciled,45200,46800,1200
to,42800,45600,400
the,44000,45500,200
idea,42300,43600,500
of,43400,44400,100
so,44700,46100,300
unsuitable,45200,46700,1200
a,42000,43300,300
match,10600,11300,800
The,39400,40700,100
strangeness,43900,45100,700
of,43300,44300,100
Mr,42600,43600,300
Collins,31700,32800,500
s,40300,41500,300
making,45400,46800,500
two,42100,43400,400
offers,48000,49300,800
of,43500,44600,100
marriage,41300,42600,400
within,44000,45600,300
three,45600,47600,500
days,42600,43900,400
was,43400,46800,400
nothing,45600,47000,400
in,43000,43900,400
comparison,35500,36500,700
of,45300,46300,200
his,43900,49000,400
being,56000,59000,400
now,41800,43000,400
accepted,38500,40300,600
She,41200,42600,300
had,42100,43200,400
always,45300,46900,300
felt,40300,42200,300
that,44700,45900,300
Charlotte,40300,41600,300
s,39500,40700,300
opinion,45400,46900,300
of,42200,43200,100
matrimony,38300,40700,400
was,42200,43400,300
not,42300,43400,300
exactly,39400,40600,700
like,43700,46900,500
her,41800,43000,600
own,41700,42700,400
but,41600,43200,400
she,44100,45300,400
had,42100,45100,300
not,54500,55600,200
supposed,36800,37900,700
it,41000,42000,300
to,40200,41100,300
be,40500,41500,300
possible,38600,40000,500
that,43800,45100,300
when,42200,43400,400
called,43100,44300,200
into,41900,43100,400
action,38100,39700,600
she,41000,42100,300
would,43200,44200,300
have,42900,44300,400
sacrificed,42600,44600,600
every,41900,45200,600
better,44500,46000,400
feeling,40700,41800,500
to,40300,41200,300
worldly,47400,48900,700
advantage,42000,44200,400
Charlotte,71800,73100,400
the,41900,43200,300
wife,43500,46200,300
of,41100,42100,100
Mr,40300,41200,300
Collins,30000,31200,500
was,40700,42000,300
a,39700,40800,200
most,40200,41400,500
humiliating,41400,43900,1000
picture,36600,38300,500
And,38700,41800,400
to,40500,41300,300
the,41800,43200,200
pang,43900,45200,1300
of,41100,42100,100
a,39800,42800,200
friend,43300,44300,500
disgracing,19400,20900,1000
herself,41300,42800,500
and,43900,44800,200
sunk,44200,47400,900
in,40600,41500,400
her,40600,41800,600
esteem,7100,7600,800
was,37700,39000,400
added,40000,41000,400
the,42000,43300,200
distressing,15400,16600,800
conviction,29700,30800,600
that,43600,44700,200
it,41200,42300,400
was,41200,42500,400
impossible,41600,45300,400
for,41700,43500,200
that,43300,44400,300
friend,43400,44400,400
to,40400,41200,200
be,40600,43500,300
tolerably,38700,40000,500
happy,39900,42300,400
in,40800,41700,300
the,41600,43000,200
lot,33100,36000,500
she,41200,42400,300
had,42900,44000,400
chosen,33400,34400,500
Chapter,45900,47100,300
23,41000,42100,700
Elizabeth,42600,43800,300
was,41000,42400,300
sitting,42000,43500,400
with,44000,45100,200
her,40600,41700,500
mother,43900,45500,400
and,41900,42800,100
sisters,44800,46500,200
reflecting,43200,45900,1000
on,40600,41500,300
what,42300,43700,400
she,41400,42600,400
had,41300,42300,300
heard,44100,45400,400
and,41900,42700,200
doubting,45300,46500,900
whether,42700,43900,500
she,41300,42400,300
was,41000,42200,300
authorised,43100,45000,900
to,40500,41400,300
mention,44200,45700,400
it,41400,42400,300
when,42500,43700,300
Sir,40600,41500,300
William,44600,46000,300
Lucas,43200,44400,300
himself,42300,43700,400
appeared,40700,42100,400
sent,34400,35400,600
by,41100,42200,200
his,41500,44900,400
daughter,43300,44600,300
to,40500,41400,300
announce,44800,46000,700
her,40800,41900,500
engagement,34500,35600,400
to,40500,41300,200
the,43600,45000,200
family,41500,42800,300
With,39500,41800,300
many,41900,44500,300
compliments,27400,29400,800
to,39800,40600,200
them,42400,43600,400
and,42000,42900,200
much,42500,43800,300
self,38100,40800,600
gratulation,10300,10900,600
on,36600,37600,300
the,41900,43300,200
prospect,35500,36600,500
of,41100,42100,100
a,39800,40900,200
connection,21500,22400,600
between,40800,42900,400
the,41900,43200,200
houses,46000,48100,700
he,40800,41900,400
unfolded,39000,40200,400
the,41800,43100,200
matter,42700,43700,300
to,42000,42900,300
an,39800,40900,300
audience,8200,9100,900
not,37100,38100,300
merely,43900,45200,400
wondering,114800,116700,600
but,41000,41900,300
incredulous,42200,44800,900
for,42700,43700,200
Mrs,41500,43900,400
Bennet,44600,45900,300
with,44200,45300,200
more,42400,43600,400
perseverance,6100,6900,900
than,39400,40400,400
politeness,37300,38800,500
protested,40600,41900,500
he,41000,44000,400
must,44100,47000,300
be,40800,41900,300
entirely,39200,40600,500
mistaken,65300,66700,500
and,236500,239700,200
Lydia,43600,45300,400
always,44300,46000,300
unguarded,18900,19800,600
and,39200,40000,100
often,43700,46900,300
uncivil,31900,37200,600
boisterously,67900,75100,1200
exclaimed,101800,104100,900
Good,32700,33900,300
Lord,29300,30400,600
Sir,40400,41400,300
William,45200,47000,300
how,41100,45700,500
can,41100,42800,400
you,43300,44500,300
tell,43500,45000,300
such,43700,46400,300
a,40100,43500,200
story,41000,42100,500
Do,40400,42300,300
not,41500,42700,300
you,41400,42400,300
know,42800,44400,500
that,43400,44700,300
Mr,40700,41700,300
Collins,30500,32100,500
wants,2700,3300,700
to,38700,39800,400
marry,26200,27400,600
Lizzy,42400,44800,400
Nothing,43700,46100,500
less,41800,43200,500
than,42100,43100,400
the,41900,43500,200
complaisance,35900,37700,600
of,41200,42500,100
a,40000,41200,300
courtier,45600,47100,1200
could,43600,44700,300
have,43500,45000,400
borne,18300,19500,1100
without,40500,42500,400
anger,12100,13000,500
such,39300,40500,300
treatment,39300,41300,400
but,40900,42600,300
Sir,40600,41400,200
William,44800,46300,300
s,38700,40600,200
good,43300,45300,300
breeding,41200,42600,400
carried,35800,36900,500
him,41600,43100,500
through,37500,38500,500
it,41200,42200,400
all,41200,42800,300
and,42100,43100,200
though,44700,46700,300
he,40700,41700,400
begged,27100,28400,700
leave,39400,40900,500
to,42400,43500,300
be,40700,41600,300
positive,4500,4900,700
as,37500,39000,300
to,40500,41300,200
the,42000,43300,200
truth,44400,46200,300
of,41200,42400,100
his,41500,45100,300
information,40500,41600,300
he,40600,41600,400
listened,41000,43200,400
to,40400,41300,300
all,41300,42400,400
their,44100,45300,300
impertinence,34700,36400,500
with,43900,45000,200
the,42100,43400,200
most,40200,41500,600
forbearing,43100,45200,800
courtesy,13200,14000,500
Elizabeth,40200,41300,300
feeling,40500,42000,400
it,41100,42100,300
incumbent,25300,26300,500
on,39900,40800,300
her,40900,42000,500
to,40600,41400,200
relieve,18200,19000,800
him,38600,40000,400
from,43300,47700,300
so,40800,42100,300
unpleasant,13800,14500,700
a,37500,38700,200
situation,40000,41000,400
now,40900,42200,400
put,37100,39000,500
herself,44500,45900,400
forward,35900,37000,400
to,40700,41600,200
confirm,45700,47000,1600
his,41500,42900,300
account,44000,45200,300
by,41300,43200,200
mentioning,35300,36600,600
her,40900,42000,500
prior,44900,46800,600
knowledge,42700,44200,400
of,42900,44200,100
it,41100,42100,300
from,43300,44700,200
Charlotte,39100,40800,300
herself,44300,45800,400
and,42300,43100,100
endeavoured,5400,6100,700
to,37700,38500,300
put,37200,40200,600
a,40100,41200,200
stop,7700,8200,700
to,36400,37300,200
the,41900,43200,100
exclamations,21800,25600,700
of,39600,40500,100
her,40700,41700,500
mother,44100,45100,300
and,42200,43100,200
sisters,45000,46400,300
by,41400,42700,200
the,42000,43400,200
earnestness,5200,5800,600
of,38600,39600,200
her,40800,41900,500
congratulations,12600,13600,800
to,36000,36800,200
Sir,42400,43300,300
William,44600,47900,300
in,40800,41700,300
which,44000,46600,300
she,41300,42400,300
was,41600,43200,300
readily,37000,39000,500
joined,39000,40700,400
by,41300,42400,100
Jane,44200,46900,300
and,42100,42900,100
by,41400,42600,100
making,42900,44900,400
a,40000,41100,200
variety,35600,37000,500
of,41300,42300,200
remarks,35000,36200,600
on,40800,41700,300
the,42000,43400,200
happiness,39000,40200,500
that,43900,45000,200
might,41600,42600,400
be,42700,43600,300
expected,43100,46300,500
from,43200,44500,300
the,42000,43400,200
match,10300,11000,700
the,37500,38900,200
excellent,42200,45600,400
character,42800,43800,300
of,41500,42500,100
Mr,40500,41500,300
Collins,30400,31800,500
and,41600,42500,100
the,41800,43100,100
convenient,37100,38200,400
distance,38100,39100,500
of,41400,42400,100
Hunsford,29600,31200,400
from,43000,44300,300
London,42600,44300,400
Mrs,41600,43500,400
Bennet,44900,46100,300
was,41300,42400,400
in,40900,41800,300
fact,40800,42800,400
too,39700,40900,500
much,43000,44200,300
overpowered,41800,44100,1200
to,40700,41600,300
say,40900,42200,400
a,40000,41100,300
great,42400,44400,400
deal,39500,40600,400
while,42200,43400,400
Sir,41100,41900,200
William,45400,46800,300
remained,41900,43400,400
but,41000,42000,400
no,41400,43200,300
sooner,39400,40500,500
had,41500,42800,400
he,40800,41800,400
left,41100,42000,400
them,42600,44100,300
than,42100,43200,300
her,41100,42100,500
feelings,45000,46300,300
found,40800,43800,300
a,40200,41300,200
rapid,37000,38100,500
vent,44100,45200,800
In,53900,55200,300
the,40800,44100,200
